Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m04
5005.416800590244	3	3	3	3
5015.646834927169	3	3	2	2
5015.886835732733	2	2	2	1
5026.056869868268	2	2	2	2
5036.286904205193	3	3	3	3
5046.446938307164	3	2	2	2
5056.626972476264	3	3	2	2
5066.837006746059	4	4	3	3
5067.077007551623	3	3	3	2
5077.227041620027	3	2	2	2
5087.3870757219975	2	2	2	2
5097.577109924662	3	3	2	2
5107.727143993067	3	3	2	2
5117.957178329993	4	3	3	3
5118.197179135556	3	3	3	2
5128.357213237527	2	2	1	1
5138.557247473756	3	2	2	2
5148.707281542162	3	3	2	2
5158.897315744826	4	3	3	3
5169.067349880362	2	2	2	2
5169.307350685925	2	2	2	1
5179.51738495572	2	2	1	1
5189.767419359777	3	3	3	2
5199.9574535624415	3	3	3	2
5210.137487731542	3	3	2	2
5220.347522001338	3	3	3	2
5220.587522806901	2	2	2	2
5230.747556908871	3	2	2	2
5240.977591245796	3	3	3	2
5251.187625515592	2	2	2	1
5261.427659886083	4	3	3	3
5271.6576942230095	3	3	2	2
5271.887694995007	3	3	2	2
5282.037729063412	3	3	3	2
5292.267763400338	3	3	3	2
5302.487797703699	4	3	3	3
5312.70783200706	3	2	2	2
5322.907866243289	3	3	3	3
5323.147867048853	3	3	2	2
5333.327901217953	4	4	4	3
5343.547935521314	4	3	3	3
5353.767969824674	3	3	3	3
5363.9980041616	3	3	2	2
5374.1780383307005	3	3	3	2
5374.418039136263	2	2	2	2
5384.628073406059	2	1	1	1
5394.768107440899	2	2	2	1
5404.918141509304	3	2	2	2
5415.018175409883	2	2	2	1
5425.2782098475045	4	4	3	3
5425.518210653067	3	3	3	2
5435.698244822168	3	2	2	2
5445.888279024832	3	3	3	2
5456.058313160368	2	2	2	1
5466.3083475644235	3	3	3	2
5476.478381699958	3	2	2	2
5476.718382505523	2	2	2	2
5486.848416506797	3	3	2	2
5497.038450709462	3	3	3	2
5507.178484744301	2	2	2	2
5517.308518745575	2	2	2	1
5527.5485531160675	4	4	3	3
5527.78855392163	4	3	3	3
5538.008588224991	3	3	3	3
5548.1486222598305	3	3	2	2
5558.298656328236	4	3	3	3
5568.508690598031	3	2	2	2
5578.728724901392	3	3	3	3
5578.9687257069545	3	3	3	2
5589.128759808924	2	2	2	2
5599.288793910894	2	2	2	1
5609.5388283149505	2	2	2	2
5619.71886248405	2	2	2	1
5629.868896552455	3	3	2	2
5630.108897358018	2	2	2	1
5640.258931426423	2	2	2	2
5650.4189655283935	3	3	3	2
5660.578999630363	3	2	2	2
5670.7590337994625	3	3	2	2
5680.969068069258	3	3	3	2
5681.209068874821	3	2	2	2
5691.389103043923	3	3	2	2
5701.539137112327	3	3	3	3
5711.779171482818	3	3	2	2
5721.889205416962	4	3	3	3
5732.059239552497	4	4	3	3
5732.29924035806	3	3	3	2
5742.469274493595	2	2	2	2
5752.609308528435	3	3	2	2
5762.749342563274	3	3	3	2
5772.9793769002	2	1	1	1
5783.219411270691	3	2	2	2
5783.459412076255	2	2	2	1
5793.599446111094	3	3	2	2
5803.729480112368	3	2	2	2
5813.889514214338	3	3	3	2
5824.059548349874	2	2	2	1
5834.309582753929	3	3	3	3
5834.549583559494	3	3	2	2
5844.749617795724	3	3	3	2
5854.899651864128	3	3	3	2
5865.139686234618	3	3	3	3
5875.269720235894	3	2	2	2
5885.5197546399495	3	3	3	3
5885.759755445513	3	3	2	2
5895.899789480352	3	3	2	2
5906.119823783713	3	3	3	2
5916.269857852118	3	3	3	3
5926.449892021218	3	3	3	3
5936.619926156753	3	3	2	2
5936.859926962316	2	2	2	2
5947.109961366373	4	3	3	3
5957.239995367647	3	3	2	2
5967.470029704573	3	3	3	3
5977.680063974368	2	2	2	1
5987.7900979085125	2	2	2	2
5988.030098714076	2	2	1	1
5998.16013271535	3	2	2	2
6008.290166716624	2	2	2	1
6018.470200885724	2	2	2	1
6028.70023522265	3	2	2	2
6038.920269526011	3	3	3	2
6039.160270331574	2	2	2	2
6049.400304702065	4	4	3	3
6059.590338904731	4	4	3	3
6069.770373073831	2	2	2	2
6079.920407142235	2	2	2	1
6090.1404414455965	3	3	3	2
6090.38044225116	3	3	2	2
6100.610476588086	4	3	3	3
6110.80051079075	3	3	3	2
6120.94054482559	4	4	3	3
6131.16057912895	2	2	2	2
6141.350613331616	3	3	3	2
6141.59061413718	3	2	2	2
6151.820648474106	4	4	4	3
6161.960682508945	4	4	4	4
6172.17071677874	3	2	2	2
6182.380751048537	2	2	2	1
6192.53078511694	3	2	2	2
6192.770785922505	2	2	2	2
6202.990820225865	2	2	2	2
6213.190854462096	3	3	2	2
6223.420888799021	3	3	3	2
6233.550922800296	3	2	2	2
6243.7609570700915	4	3	3	3
6244.000957875654	3	3	2	2
6254.180992044755	3	3	3	2
6264.371026247421	3	3	2	2
6274.521060315824	3	3	2	2
6284.701094484924	2	2	2	2
6294.881128654024	2	2	2	2
6295.111129426024	2	2	2	2
6305.271163527993	3	2	2	2
6315.4511976970925	3	2	2	2
6325.641231899758	2	2	2	2
6335.791265968163	2	2	2	2
6345.981300170828	2	1	1	1
6346.211300942827	2	1	1	1
6356.3313349105365	2	2	1	1
6366.491369012506	3	3	3	2
6376.701403282301	3	3	3	2
6386.911437552097	3	3	3	3
6397.061471620502	3	3	3	3
6397.301472426064	3	3	2	2
6407.491506628729	4	4	3	3
6417.681540831395	4	3	3	3
6427.861575000496	3	3	3	3
6438.05160920316	2	2	2	2
6448.241643405826	3	3	3	2
6448.471644177824	3	3	3	2
6458.571678078403	4	4	3	3
6468.761712281068	3	3	3	2
6478.931746416603	3	2	2	2
6489.101780552139	2	2	2	1
6499.261814654108	3	2	2	2
6499.491815426106	3	2	2	2
6509.671849595207	3	3	3	2
6519.8118836300455	2	2	2	1
6529.961917698451	2	2	2	1
6540.0919516997255	2	2	1	1
6550.3119860030865	4	3	3	3
6550.551986808649	3	3	2	2
6560.742021011315	2	2	2	1
6570.942055247545	2	2	2	1
6581.1220894166445	2	2	2	2
6591.302123585745	2	2	2	2
6601.492157788411	3	2	2	2
6601.7321585939735	2	2	2	1
6611.912192763074	3	2	2	2
6622.1422271	3	3	2	2
