Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m04
5710.779168126312	3	3	3	3
5721.009202463238	4	4	3	3
5731.179236598772	3	3	3	2
5731.419237404336	3	3	2	2
5741.56927147274	4	4	3	3
5751.749305641841	3	2	2	2
5761.859339575985	3	3	3	3
5772.06937384578	3	2	2	2
5782.259408048446	3	3	2	2
5782.499408854009	3	2	2	2
5792.679443023109	3	2	2	2
5802.93947746073	3	3	3	2
5813.039511361309	3	2	2	2
5823.239545597539	3	3	3	2
5833.459579900899	4	4	3	3
5833.699580706464	3	3	3	3
5843.879614875565	3	3	2	2
5854.099649178925	3	2	2	2
5864.30968344872	3	3	2	2
5874.5197177185155	3	3	2	2
5884.709751921181	3	2	2	2
5884.939752693179	3	2	2	2
5895.109786828714	3	2	2	2
5905.279820964249	3	3	3	2
5915.479855200479	3	3	3	3
5925.649889336015	3	3	2	2
5935.869923639375	2	2	2	2
5936.109924444939	2	1	1	1
5946.289958614038	3	2	2	2
5956.5199929509645	3	3	3	2
5966.720027187194	3	3	3	3
5976.91006138986	3	3	2	2
5987.130095693221	2	2	2	2
5987.36009646522	2	2	2	2
5997.540130634318	3	3	3	3
6007.76016493768	3	3	3	3
6017.950199140345	3	3	3	2
6028.1302333094445	3	3	2	2
6038.290267411415	3	3	3	2
6038.530268216979	3	3	2	2
6048.750302520339	4	4	4	3
6058.890336555179	3	3	3	2
6069.040370623584	3	3	2	2
6079.240404859815	2	2	2	2
6089.330438726828	2	2	2	2
6089.570439532391	2	1	1	1
6099.7504737014915	2	2	2	2
6109.980508038418	3	2	2	2
6120.200542341778	2	2	2	1
6130.370576477312	2	2	2	1
6140.5306105792815	3	3	3	3
6140.770611384846	3	2	2	2
6150.940645520381	3	2	2	2
6161.160679823742	3	2	2	2
6171.360714059972	4	3	3	3
6181.5807483633325	4	3	3	3
6191.710782364607	3	3	2	2
6191.940783136605	3	3	2	2
6202.170817473531	3	3	3	2
6212.390851776891	3	3	3	3
6222.6208861138175	4	3	3	3
6232.790920249352	4	4	3	3
6242.960954384888	3	3	2	2
6243.200955190451	2	2	2	2
6253.370989325987	2	2	2	1
6263.551023495086	2	2	2	1
6273.751057731316	3	3	3	3
6283.851091631895	4	3	3	3
6294.051125868125	3	3	3	2
6294.291126673689	3	3	2	2
6304.47116084279	3	3	2	2
6314.711195213281	4	4	3	3
6324.841229214555	4	3	3	3
6334.971263215829	3	3	3	2
6345.181297485625	2	1	1	1
6345.4112982576235	2	1	1	1
6355.661332661679	4	3	3	3
6365.831366797213	3	3	3	2
6376.021400999879	2	2	2	1
6386.251435336805	3	2	2	2
6396.411469438775	2	2	2	1
6396.641470210773	2	2	2	1
6406.771504212047	2	2	2	2
6416.961538414713	3	3	3	3
6427.1615726509435	3	3	3	3
6437.351606853608	3	3	3	2
6447.531641022708	2	1	1	1
6447.761641794707	2	1	1	1
6457.971676064502	3	3	3	2
6468.171710300733	3	2	2	2
6478.351744469834	2	2	2	2
6488.5417786724975	2	2	2	2
6498.771813009424	3	3	3	2
6499.011813814987	3	2	2	2
6509.141847816262	3	3	3	2
6519.351882086057	3	3	3	3
6529.521916221593	2	2	2	1
6539.701950390692	2	2	2	1
6549.881984559794	2	2	2	2
6550.121985365356	2	2	2	1
6560.352019702282	4	3	3	3
6570.512053804252	3	3	2	2
6580.732088107613	4	3	3	3
6590.9021222431475	3	2	2	2
6601.162156680769	4	4	3	3
6601.402157486332	3	3	3	2
6611.542191521171	3	3	3	2
6621.712225656707	3	2	2	2
6631.912259892937	3	3	3	2
6642.102294095603	3	3	3	3
6652.302328331833	3	3	3	3
6652.542329137396	3	3	3	2
6662.732363340061	3	3	3	2
6672.922397542727	3	2	2	2
6683.112431745392	4	4	3	3
6693.282465880927	3	3	3	2
6703.502500184287	3	3	3	3
6703.742500989851	3	3	2	2
6713.932535192516	3	3	2	2
6724.162569529442	2	2	2	1
6734.412603933498	2	2	2	2
6744.622638203294	3	3	3	2
6754.83267247309	2	2	2	1
6755.0726732786525	2	1	1	1
6765.32270768271	4	4	4	3
6775.492741818244	4	4	4	4
6785.702776088039	3	2	2	2
6795.8628101900085	2	2	2	2
6806.04284435911	3	3	3	2
6806.272845131108	3	3	3	2
6816.452879300208	2	2	2	2
6826.612913402177	2	2	1	1
6836.7429474034525	2	2	2	1
6846.952981673247	3	3	2	2
6857.173015976608	3	2	2	2
6857.413016782171	2	2	2	1
6867.5630508505765	2	2	1	1
6877.773085120371	3	3	2	2
