Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m04
10253.288875416793	2	2	2	2
10266.38375265232	3	2	2	2
10279.478629887844	2	2	2	1
10292.57350712337	1	1	1	1
10305.668384358896	2	2	2	2
10318.763261594422	3	3	2	2
10331.858138829948	2	2	2	1
10344.953016065474	2	2	2	1
10358.047893301	3	3	3	3
10371.142770536526	3	2	2	2
10384.237647772052	2	2	2	2
10397.332525007578	2	2	2	2
10410.427402243104	3	3	2	2
10423.52227947863	2	2	1	1
10436.617156714155	3	2	2	2
10449.712033949681	2	2	2	1
10462.806911185207	2	2	2	1
10475.901788420733	3	3	3	3
10488.99666565626	4	3	3	3
10502.091542891785	3	3	2	2
10515.186420127311	3	3	2	2
10528.281297362837	2	2	2	2
10541.376174598363	3	3	3	2
10554.471051833889	3	3	3	3
