Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m02	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m03	Unknown Heuristic - Run None (Profile ?) 696608d1beaa052d104a4dff - minikube-m04
7551.095406360424	3	3	2	2
7561.272084805654	3	3	2	2
7571.4487632508835	2	2	2	2
7581.625441696113	3	3	2	2
7591.802120141342	3	3	2	2
7601.978798586572	3	3	2	2
7612.155477031802	3	3	2	2
7622.332155477032	3	3	2	2
7632.508833922262	2	2	2	2
7642.685512367491	3	3	2	2
7652.862190812721	3	3	2	2
7663.03886925795	3	3	2	2
7673.21554770318	3	3	2	2
7683.3922261484095	3	3	2	2
7693.56890459364	2	2	2	2
7703.74558303887	3	3	2	2
7713.922261484099	3	3	2	2
7724.0989399293285	3	3	2	2
7734.275618374558	3	3	2	2
7744.452296819788	3	3	2	2
7754.628975265017	2	2	2	2
7764.8056537102475	3	3	2	2
7774.982332155478	3	3	2	2
7785.159010600707	3	3	2	2
7795.335689045936	3	3	2	2
7805.512367491166	3	3	2	2
7815.689045936396	2	2	2	2
7825.865724381625	3	3	2	2
7836.042402826855	3	3	2	2
7846.2190812720855	3	3	2	2
7856.395759717315	3	3	2	2
7866.572438162544	3	3	2	2
7876.749116607773	2	2	2	2
7886.925795053004	3	3	2	2
7897.102473498233	3	3	2	2
7907.279151943463	3	3	2	2
7917.455830388693	3	3	2	2
7927.632508833923	3	3	2	2
7937.809187279152	2	2	2	2
7947.985865724381	3	3	2	2
7958.1625441696115	3	3	2	2
7968.339222614841	3	3	2	2
7978.515901060071	3	3	2	2
7988.692579505301	3	3	2	2
7998.8692579505305	2	2	2	2
8009.04593639576	3	3	2	2
8019.222614840989	3	3	2	2
8029.399293286218	3	3	2	2
8039.575971731449	3	3	2	2
8049.752650176678	3	3	2	2
8059.929328621909	2	2	2	2
8070.106007067138	3	3	2	2
8080.282685512368	3	3	2	2
8090.459363957597	3	3	2	2
8100.636042402826	3	3	2	2
8110.812720848056	3	3	2	2
8120.989399293286	2	2	2	2
8131.166077738516	3	3	2	2
8141.342756183746	3	3	2	2
8151.519434628975	3	3	2	2
8161.696113074205	3	3	2	2
8171.872791519434	3	3	2	2
8182.049469964664	2	2	2	2
8192.226148409893	3	3	2	2
