Relative Time (Process)	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m02	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m03	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m04
7591.760923919514	4	3	3	3
7602.047862840814	4	4	4	4
7612.334801762115	4	4	4	4
7622.621740683415	4	4	4	4
7632.908679604714	4	4	4	4
7643.195618526015	4	4	4	4
7653.482557447315	4	3	3	3
7663.769496368614	4	4	4	4
7674.0564352899155	4	4	4	4
7684.343374211216	4	4	4	4
7694.630313132516	4	4	4	4
7704.917252053816	4	4	4	4
7715.204190975116	4	3	3	3
7725.491129896416	4	4	4	4
7735.778068817716	4	4	4	4
7746.065007739016	4	4	4	4
7756.351946660317	4	4	4	4
7766.638885581618	4	4	4	4
7776.925824502917	4	3	3	3
7787.212763424217	4	4	4	4
7797.499702345518	4	4	4	4
7807.786641266817	4	4	4	4
7818.073580188117	4	4	4	4
7828.360519109418	4	4	4	4
7838.647458030718	4	3	3	3
7848.934396952018	4	4	4	4
7859.221335873319	4	4	4	4
7869.508274794618	4	4	4	4
7879.795213715918	4	4	4	4
7890.082152637219	4	4	4	4
7900.369091558518	4	3	3	3
7910.656030479819	4	4	4	4
7920.94296940112	4	4	4	4
7931.229908322419	4	4	4	4
7941.51684724372	4	4	4	4
7951.80378616502	4	4	4	4
7962.090725086319	4	3	3	3
7972.37766400762	4	4	4	4
7982.66460292892	4	4	4	4
7992.95154185022	4	4	4	4
8003.238480771521	4	4	4	4
8013.525419692821	4	4	4	4
8023.81235861412	4	3	3	3
8034.099297535421	4	4	4	4
8044.386236456721	4	4	4	4
8054.673175378021	4	4	4	4
8064.9601142993215	4	4	4	4
8075.247053220622	4	4	4	4
8085.533992141922	4	3	3	3
8095.820931063222	4	4	4	4
8106.107869984522	4	4	4	4
8116.394808905822	4	4	4	4
8126.681747827122	4	4	4	4
8136.968686748422	4	4	4	4
8147.255625669723	4	3	3	3
8157.542564591024	4	4	4	4
8167.829503512323	4	4	4	4
8178.116442433623	4	4	4	4
8188.403381354924	4	4	4	4
8198.690320276224	4	4	4	4
8208.977259197523	4	3	3	3
