Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
9213.444804640847	2	2	2	1
9228.186316328272	3	2	2	2
9242.927828015698	4	4	4	3
9257.669339703121	3	3	2	2
9272.410851390547	3	2	2	2
9287.152363077972	2	2	2	1
9301.893874765397	4	3	3	3
9316.635386452825	3	3	3	2
9331.37689814025	3	2	2	2
9346.118409827675	3	3	3	2
9360.8599215151	4	4	3	3
9375.601433202526	3	3	3	2
9390.34294488995	2	2	2	1
9405.084456577375	2	2	2	2
9419.8259682648	3	2	2	2
9434.567479952226	2	2	2	2
9449.308991639651	3	3	2	2
9464.050503327077	2	2	2	2
9478.792015014504	3	3	3	3
9493.533526701929	3	3	3	2
9508.275038389354	2	2	2	2
9523.01655007678	3	3	3	3
9537.758061764203	2	2	2	2
9552.499573451629	2	1	1	1
9567.241085139054	3	2	2	2
9581.98259682648	3	3	2	2
9596.724108513905	4	3	3	3
9611.46562020133	3	3	3	3
9626.207131888756	3	2	2	2
9640.948643576181	2	2	2	1
9655.690155263608	3	3	2	2
9670.431666951034	2	2	2	1
9685.173178638457	2	2	2	1
9699.914690325882	3	2	2	2
9714.656202013308	3	2	2	2
9729.397713700733	2	2	2	2
9744.139225388159	2	2	2	2
9758.880737075584	3	2	2	2
9773.62224876301	2	2	2	2
9788.363760450435	3	3	2	2
9803.10527213786	2	2	2	2
9817.846783825285	2	2	2	1
9832.58829551271	2	1	1	1
9847.329807200136	3	3	2	2
9862.071318887562	3	3	3	2
9876.812830574987	2	1	1	1
9891.554342262412	3	2	2	2
9906.295853949838	3	2	2	2
9921.037365637263	3	3	3	3
9935.778877324688	4	3	3	3
9950.520389012114	2	2	2	1
9965.26190069954	3	2	2	2
