Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
8979.00318133616	2	2	2	2
8994.273594909862	2	2	2	2
9009.544008483563	2	2	2	1
9024.814422057263	2	2	2	2
9040.084835630965	3	3	2	2
9055.355249204666	3	3	3	2
9070.625662778366	3	3	2	2
9085.896076352068	2	2	2	1
9101.166489925768	2	2	2	2
9116.43690349947	3	3	2	2
9131.707317073171	3	3	3	2
9146.977730646871	4	3	3	3
9162.248144220574	3	3	2	2
9177.518557794274	3	2	2	2
9192.788971367974	3	3	3	3
9208.059384941676	1	1	1	1
9223.329798515377	2	2	2	1
9238.600212089077	2	2	2	1
9253.87062566278	2	2	2	1
9269.14103923648	3	2	2	2
9284.41145281018	3	3	2	2
9299.68186638388	3	3	3	3
9314.952279957583	2	2	2	2
9330.222693531283	3	3	2	2
9345.493107104983	3	3	2	2
9360.763520678685	2	2	2	2
9376.033934252386	4	4	3	3
9391.304347826086	3	3	2	2
9406.574761399788	3	3	2	2
9421.845174973489	2	1	1	1
9437.115588547189	2	1	1	1
9452.386002120891	3	3	3	2
9467.656415694591	3	2	2	2
9482.926829268292	3	3	2	2
9498.197242841994	4	3	3	3
9513.467656415694	3	2	2	2
9528.738069989397	2	2	1	1
9544.008483563095	3	2	2	2
9559.278897136797	3	3	2	2
9574.5493107105	3	2	2	2
9589.8197242842	2	2	2	2
9605.0901378579	2	2	2	2
9620.360551431602	2	2	2	2
9635.630965005303	2	2	2	2
9650.901378579003	3	3	3	2
9666.171792152703	3	3	3	3
9681.442205726406	3	2	2	2
9696.712619300106	3	2	2	2
9711.983032873806	2	2	1	1
9727.253446447508	2	2	2	2
9742.523860021209	3	3	2	2
9757.79427359491	3	3	3	2
9773.064687168611	2	2	2	2
9788.335100742312	3	2	2	2
9803.605514316012	3	2	2	2
9818.875927889714	2	2	2	1
9834.146341463415	2	2	2	1
9849.416755037115	2	2	2	2
9864.687168610817	3	3	2	2
9879.957582184517	3	3	3	3
9895.227995758218	3	2	2	2
9910.49840933192	3	3	3	2
9925.76882290562	3	3	2	2
9941.039236479322	3	3	3	3
9956.309650053021	3	3	3	2
9971.580063626723	4	4	3	3
9986.850477200425	3	3	3	3
10002.120890774126	3	2	2	2
10017.391304347826	2	2	1	1
10032.661717921528	2	1	1	1
10047.932131495229	2	2	2	2
10063.202545068929	2	2	2	2
10078.47295864263	2	2	1	1
10093.743372216331	3	2	2	2
10109.013785790032	2	2	2	2
10124.284199363732	2	2	2	2
10139.554612937434	4	4	3	3
10154.825026511135	4	3	3	3
10170.095440084835	3	3	2	2
10185.365853658537	3	3	3	2
10200.636267232238	3	3	3	3
10215.906680805938	4	4	3	3
10231.17709437964	3	3	3	3
10246.44750795334	3	3	3	3
10261.71792152704	3	3	3	3
10276.988335100743	2	2	2	1
10292.258748674443	3	3	2	2
10307.529162248144	3	3	3	2
10322.799575821844	3	3	2	2
10338.069989395546	3	2	2	2
10353.340402969248	3	2	2	2
10368.610816542947	3	3	2	2
10383.881230116649	3	3	3	2
10399.151643690351	3	2	2	2
10414.422057264052	3	2	2	2
10429.692470837752	3	3	3	3
10444.962884411452	3	2	2	2
10460.233297985154	2	2	2	2
10475.503711558855	3	3	3	2
10490.774125132555	2	2	2	1
10506.044538706257	3	2	2	2
10521.314952279958	4	4	3	3
10536.585365853658	3	3	3	2
10551.85577942736	2	2	2	2
10567.12619300106	3	3	3	2
10582.39660657476	2	2	2	2
10597.667020148463	3	3	3	2
10612.937433722163	3	2	2	2
10628.207847295864	2	2	2	2
10643.478260869566	4	4	3	3
10658.748674443266	3	3	3	2
10674.019088016967	3	2	2	2
10689.289501590667	3	3	2	2
10704.55991516437	3	3	3	2
10719.83032873807	3	3	3	2
10735.10074231177	3	3	3	2
10750.371155885472	4	3	3	3
10765.641569459174	2	2	2	2
10780.911983032873	3	3	2	2
10796.182396606575	3	3	3	3
10811.452810180277	3	2	2	2
10826.723223753977	3	3	2	2
10841.993637327676	4	4	3	3
10857.26405090138	4	4	4	3
10872.53446447508	3	3	3	3
10887.80487804878	3	3	3	2
10903.075291622483	3	3	3	2
10918.345705196183	3	3	2	2
10933.616118769884	3	3	3	2
10948.886532343586	2	2	2	2
10964.156945917286	2	2	2	2
10979.427359490986	4	4	4	3
10994.697773064687	4	3	3	3
11009.968186638389	4	4	3	3
11025.23860021209	3	3	2	2
11040.50901378579	2	2	2	2
11055.779427359492	3	3	2	2
11071.049840933192	4	3	3	3
11086.320254506893	3	3	2	2
11101.590668080595	4	3	3	3
11116.861081654295	3	3	3	2
11132.131495227995	3	3	3	3
11147.401908801698	3	3	3	3
