Relative Time (Process)	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m02	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m03	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m04
6032.638643588838	3	3	3	3
6042.81172730484	3	3	2	2
6052.98481102084	3	3	3	3
6063.157894736842	3	3	3	3
6073.330978452844	3	3	3	3
6083.504062168845	3	3	3	3
6093.677145884847	3	3	3	3
6103.850229600848	3	3	2	2
6114.0233133168485	3	3	3	3
6124.196397032851	3	3	3	3
6134.369480748852	3	3	3	3
6144.542564464854	3	3	3	3
6154.715648180855	3	3	3	3
6164.8887318968555	3	3	2	2
6175.061815612858	3	3	3	3
6185.234899328859	3	3	3	3
6195.407983044861	3	3	3	3
6205.581066760862	3	3	3	3
6215.754150476864	3	3	3	3
6225.9272341928645	3	3	2	2
6236.100317908866	3	3	3	3
6246.273401624868	3	3	3	3
6256.446485340869	3	3	3	3
6266.619569056871	3	3	3	3
6276.792652772871	3	3	3	3
6286.965736488873	3	3	2	2
6297.138820204875	3	3	3	3
6307.311903920876	3	3	3	3
6317.484987636878	3	3	3	3
6327.658071352879	3	3	3	3
6337.8311550688795	3	3	3	3
6348.004238784882	3	3	2	2
6358.177322500883	3	3	3	3
6368.350406216885	3	3	3	3
6378.523489932886	3	3	3	3
6388.696573648886	3	3	3	3
6398.869657364889	3	3	3	3
6409.04274108089	3	3	2	2
6419.215824796892	3	3	3	3
6429.388908512893	3	3	3	3
6439.561992228895	3	3	3	3
6449.7350759448955	3	3	3	3
6459.908159660897	3	3	3	3
6470.081243376899	3	3	2	2
6480.2543270929	3	3	3	3
6490.427410808902	3	3	3	3
6500.600494524903	3	3	3	3
6510.773578240904	3	3	3	3
6520.946661956906	3	3	3	3
6531.119745672907	3	3	2	2
6541.292829388909	3	3	3	3
6551.46591310491	3	3	3	3
6561.6389968209105	3	3	3	3
6571.812080536913	3	3	3	3
6581.985164252914	3	3	3	3
6592.158247968916	3	3	2	2
6602.331331684917	3	3	3	3
6612.504415400919	3	3	3	3
6622.6774991169195	3	3	3	3
6632.850582832921	3	3	3	3
6643.023666548923	3	3	3	3
6653.196750264924	3	3	2	2
6663.369833980926	3	3	3	3
6673.542917696926	3	3	3	3
6683.716001412928	3	3	3	3
6693.88908512893	3	3	3	3
6704.062168844931	3	3	3	3
6714.235252560933	3	3	2	2
6724.408336276934	3	3	3	3
6734.581419992935	3	3	3	3
6744.754503708937	3	3	3	3
6754.927587424938	3	3	3	3
6765.10067114094	3	3	3	3
6775.273754856941	3	3	2	2
6785.4468385729415	3	3	3	3
6795.619922288944	3	3	3	3
6805.793006004945	3	3	3	3
6815.966089720947	3	3	3	3
6826.139173436948	3	3	3	3
6836.31225715295	3	3	2	2
6846.4853408689505	3	3	3	3
6856.658424584952	3	3	3	3
6866.831508300954	3	3	3	3
6877.004592016955	3	3	3	3
6887.177675732957	3	3	3	3
6897.350759448957	3	3	2	2
6907.523843164959	3	3	3	3
6917.696926880961	3	3	3	3
6927.870010596962	3	3	3	3
6938.043094312964	3	3	3	3
6948.216178028965	3	3	3	3
6958.389261744966	3	3	2	2
6968.562345460968	3	3	3	3
6978.735429176969	3	3	3	3
6988.908512892971	3	3	3	3
6999.081596608972	3	3	3	3
7009.254680324973	3	3	3	3
7019.427764040975	3	3	2	2
7029.600847756976	3	3	3	3
7039.773931472978	3	3	3	3
7049.947015188979	3	3	3	3
7060.120098904981	3	3	3	3
7070.2931826209815	3	3	3	3
7080.466266336983	3	3	2	2
7090.639350052985	3	3	3	3
7100.812433768986	3	3	3	3
7110.985517484988	3	3	3	3
7121.158601200988	3	3	3	3
7131.3316849169905	3	3	3	3
7141.504768632992	3	3	2	2
7151.677852348993	3	3	3	3
7161.850936064995	3	3	3	3
7172.024019780996	3	3	3	3
7182.197103496997	3	3	3	3
7192.370187212999	3	3	3	3
7202.543270929001	3	3	2	2
7212.716354645002	3	3	3	3
7222.889438361003	3	3	3	3
7233.062522077004	3	3	3	3
7243.235605793006	3	3	3	3
7253.408689509008	3	3	3	3
7263.581773225009	3	3	2	2
7273.75485694101	3	3	3	3
7283.927940657012	3	3	3	3
7294.1010243730125	3	3	3	3
7304.274108089015	3	3	3	3
7314.447191805016	3	3	3	3
7324.620275521018	3	3	2	2
7334.793359237019	3	3	3	3
7344.96644295302	3	3	3	3
7355.1395266690215	3	3	3	3
7365.312610385023	3	3	3	3
7375.485694101025	3	3	3	3
7385.658777817026	3	3	2	2
7395.831861533027	3	3	3	3
7406.004945249028	3	3	3	3
7416.17802896503	3	3	3	3
7426.351112681032	3	3	3	3
7436.524196397033	3	3	3	3
7446.697280113035	3	3	2	2
7456.870363829036	3	3	3	3
7467.0434475450365	3	3	3	3
7477.216531261039	3	3	3	3
7487.38961497704	3	3	3	3
7497.562698693042	3	3	3	3
7507.735782409043	3	3	2	2
7517.9088661250435	3	3	3	3
7528.081949841046	3	3	3	3
7538.255033557047	3	3	3	3
7548.428117273049	3	3	3	3
7558.60120098905	3	3	3	3
7568.774284705052	3	3	2	2
7578.9473684210525	3	3	3	3
7589.120452137054	3	3	3	3
7599.293535853056	3	3	3	3
7609.466619569057	3	3	3	3
7619.639703285059	3	3	3	3
7629.812787001059	3	3	2	2
7639.985870717061	3	3	3	3
7650.158954433063	3	3	3	3
7660.332038149064	3	3	3	3
7670.505121865066	3	3	3	3
7680.678205581067	3	3	3	3
7690.8512892970675	3	3	2	2
7701.02437301307	3	3	3	3
7711.197456729071	3	3	3	3
7721.370540445073	3	3	3	3
7731.543624161074	3	3	3	3
7741.716707877074	3	3	3	3
7751.889791593077	3	3	2	2
7762.062875309078	3	3	3	3
7772.23595902508	3	3	3	3
7782.409042741081	3	3	3	3
7792.582126457083	3	3	3	3
7802.7552101730835	3	3	3	3
7812.928293889085	3	3	2	2
7823.101377605087	3	3	3	3
7833.274461321088	3	3	3	3
7843.44754503709	3	3	3	3
7853.62062875309	3	3	3	3
7863.793712469092	3	3	3	3
7873.966796185094	3	3	2	2
7884.139879901095	3	3	3	3
7894.312963617097	3	3	3	3
7904.486047333098	3	3	3	3
