Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
5040.233994150146	1	1	1	1
5054.273643158921	1	1	1	1
5068.313292167696	1	1	1	1
5082.35294117647	1	1	1	1
5096.392590185245	4	4	4	4
5110.43223919402	1	1	1	1
5124.471888202795	1	1	1	1
5138.51153721157	1	1	1	1
5152.551186220345	1	1	1	1
5166.590835229119	1	1	1	1
5180.630484237894	4	4	4	4
5194.670133246669	1	1	1	1
5208.709782255443	1	1	1	1
5222.749431264218	1	1	1	1
5236.7890802729935	1	1	1	1
5250.828729281768	1	1	1	1
5264.868378290543	4	4	4	4
5278.908027299318	1	1	1	1
5292.947676308092	1	1	1	1
5306.987325316867	1	1	1	1
5321.026974325642	1	1	1	1
5335.066623334416	1	1	1	1
5349.106272343191	4	4	4	4
5363.1459213519665	1	1	1	1
5377.185570360742	1	1	1	1
5391.225219369516	1	1	1	1
5405.264868378291	1	1	1	1
5419.304517387065	1	1	1	1
5433.34416639584	4	4	4	4
5447.383815404615	1	1	1	1
5461.423464413389	1	1	1	1
5475.4631134221645	1	1	1	1
5489.50276243094	1	1	1	1
5503.542411439714	1	1	1	1
5517.582060448489	4	4	4	4
5531.621709457264	1	1	1	1
5545.661358466038	1	1	1	1
5559.701007474813	1	1	1	1
5573.740656483588	1	1	1	1
5587.7803054923625	1	1	1	1
5601.8199545011375	4	4	4	4
5615.859603509913	1	1	1	1
5629.899252518687	1	1	1	1
5643.938901527462	1	1	1	1
5657.978550536237	1	1	1	1
5672.018199545011	1	1	1	1
5686.057848553786	4	4	4	4
5700.097497562561	1	1	1	1
5714.137146571336	1	1	1	1
5728.176795580111	1	1	1	1
5742.216444588886	1	1	1	1
5756.256093597661	1	1	1	1
5770.295742606435	4	4	4	4
5784.33539161521	1	1	1	1
5798.375040623985	1	1	1	1
5812.414689632759	1	1	1	1
5826.454338641534	1	1	1	1
5840.4939876503095	1	1	1	1
5854.533636659083	4	4	4	4
5868.573285667859	1	1	1	1
5882.612934676634	1	1	1	1
5896.652583685407	1	1	1	1
5910.692232694183	1	1	1	1
5924.731881702958	1	1	1	1
