Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m04
9123.751794544583	1	1	1	1
9137.533896953262	4	4	4	4
9151.31599936194	1	1	1	1
9165.098101770616	1	1	1	1
9178.880204179295	1	1	1	1
9192.662306587972	1	1	1	1
9206.444408996651	1	1	1	1
9220.226511405328	4	4	4	4
9234.008613814005	1	1	1	1
9247.790716222684	1	1	1	1
9261.57281863136	1	1	1	1
9275.354921040038	1	1	1	1
9289.137023448715	1	1	1	1
9302.919125857394	4	4	4	4
9316.70122826607	1	1	1	1
9330.48333067475	1	1	1	1
9344.265433083427	1	1	1	1
9358.047535492104	1	1	1	1
9371.829637900782	1	1	1	1
9385.61174030946	4	4	4	4
9399.393842718137	1	1	1	1
9413.175945126814	1	1	1	1
9426.958047535492	1	1	1	1
9440.74014994417	1	1	1	1
9454.522252352848	1	1	1	1
9468.304354761525	4	4	4	4
9482.086457170202	1	1	1	1
9495.868559578881	1	1	1	1
9509.650661987558	1	1	1	1
9523.432764396235	1	1	1	1
9537.214866804912	1	1	1	1
9550.996969213591	4	4	4	4
9564.779071622268	1	1	1	1
9578.561174030945	1	1	1	1
9592.343276439624	1	1	1	1
9606.1253788483	1	1	1	1
9619.90748125698	1	1	1	1
9633.689583665657	4	4	4	4
9647.471686074334	1	1	1	1
9661.25378848301	1	1	1	1
9675.03589089169	1	1	1	1
9688.817993300367	1	1	1	1
9702.600095709044	1	1	1	1
9716.382198117723	4	4	4	4
9730.1643005264	1	1	1	1
9743.946402935078	1	1	1	1
9757.728505343754	1	1	1	1
9771.510607752432	1	1	1	1
9785.29271016111	1	1	1	1
9799.074812569788	4	4	4	4
9812.856914978465	1	1	1	1
9826.639017387142	1	1	1	1
9840.421119795821	1	1	1	1
9854.203222204498	1	1	1	1
9867.985324613177	1	1	1	1
9881.767427021854	4	4	4	4
9895.549529430531	1	1	1	1
9909.331631839208	1	1	1	1
9923.113734247887	1	1	1	1
9936.895836656564	1	1	1	1
9950.677939065241	1	1	1	1
9964.46004147392	4	4	4	4
9978.242143882597	1	1	1	1
9992.024246291276	1	1	1	1
10005.806348699953	1	1	1	1
10019.58845110863	1	1	1	1
10033.370553517309	1	1	1	1
10047.152655925986	4	4	4	4
10060.934758334663	1	1	1	1
10074.71686074334	1	1	1	1
10088.498963152018	1	1	1	1
10102.281065560695	1	1	1	1
10116.063167969372	1	1	1	1
10129.845270378051	4	4	4	4
10143.627372786728	1	1	1	1
10157.409475195407	1	1	1	1
10171.191577604082	1	1	1	1
10184.973680012761	1	1	1	1
10198.755782421438	1	1	1	1
10212.537884830117	4	4	4	4
10226.319987238794	1	1	1	1
10240.102089647471	1	1	1	1
10253.88419205615	1	1	1	1
10267.666294464827	1	1	1	1
10281.448396873506	1	1	1	1
10295.230499282181	4	4	4	4
10309.01260169086	1	1	1	1
10322.794704099537	1	1	1	1
10336.576806508216	1	1	1	1
10350.358908916893	1	1	1	1
10364.14101132557	1	1	1	1
10377.923113734249	4	4	4	4
10391.705216142926	1	1	1	1
10405.487318551604	1	1	1	1
10419.26942096028	1	1	1	1
10433.051523368958	1	1	1	1
10446.833625777635	1	1	1	1
10460.615728186314	4	4	4	4
10474.397830594991	1	1	1	1
10488.179933003668	1	1	1	1
10501.962035412347	1	1	1	1
10515.744137821024	1	1	1	1
10529.526240229701	1	1	1	1
10543.308342638378	4	4	4	4
10557.090445047057	1	1	1	1
10570.872547455734	1	1	1	1
10584.654649864413	1	1	1	1
10598.43675227309	1	1	1	1
10612.218854681767	1	1	1	1
10626.000957090446	4	4	4	4
10639.783059499123	1	1	1	1
10653.5651619078	1	1	1	1
10667.347264316477	1	1	1	1
10681.129366725156	1	1	1	1
10694.911469133833	1	1	1	1
10708.69357154251	4	4	4	4
10722.475673951189	1	1	1	1
10736.257776359866	1	1	1	1
10750.039878768544	1	1	1	1
10763.821981177221	1	1	1	1
10777.604083585898	1	1	1	1
10791.386185994577	4	4	4	4
10805.168288403254	1	1	1	1
10818.950390811931	1	1	1	1
10832.73249322061	1	1	1	1
10846.514595629287	1	1	1	1
10860.296698037964	1	1	1	1
10874.078800446643	4	4	4	4
10887.86090285532	1	1	1	1
10901.643005263999	1	1	1	1
10915.425107672676	1	1	1	1
10929.207210081351	1	1	1	1
10942.989312490032	1	1	1	1
10956.771414898707	4	4	4	4
10970.553517307384	1	1	1	1
10984.335619716063	1	1	1	1
10998.11772212474	1	1	1	1
11011.899824533419	1	1	1	1
11025.681926942096	1	1	1	1
11039.464029350773	4	4	4	4
11053.246131759452	1	1	1	1
11067.028234168129	1	1	1	1
11080.810336576807	1	1	1	1
