Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m04
10746.747256243041	1	1	1	1
10760.489899793225	4	4	4	4
10774.232543343407	1	1	1	1
10787.975186893591	1	1	1	1
10801.717830443771	1	1	1	1
10815.460473993955	1	1	1	1
10829.20311754414	1	1	1	1
10842.945761094321	4	4	4	4
10856.688404644505	1	1	1	1
10870.431048194687	1	1	1	1
10884.17369174487	1	1	1	1
10897.916335295053	1	1	1	1
10911.658978845237	1	1	1	1
10925.401622395419	4	4	4	4
10939.144265945602	1	1	1	1
10952.886909495784	1	1	1	1
10966.629553045968	1	1	1	1
10980.37219659615	1	1	1	1
10994.114840146334	1	1	1	1
11007.857483696516	4	4	4	4
11021.6001272467	1	1	1	1
11035.342770796882	1	1	1	1
