Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
4806.086687802285	4	3	3	3
4816.276723184357	4	4	4	4
4826.456758531705	4	4	4	4
4836.6367938790545	4	4	4	4
4846.816829226404	4	4	4	4
4856.996864573753	4	4	4	4
4857.2068653029255	4	3	3	3
4867.40690071972	4	4	4	4
4877.586936067069	4	4	4	4
4887.766971414418	4	4	4	4
4897.947006761767	4	4	4	4
4908.127042109116	4	4	4	4
4908.33704283829	4	3	3	3
4918.527078220361	4	4	4	4
4928.70711356771	4	4	4	4
4938.887148915059	4	4	4	4
4949.067184262408	4	4	4	4
4959.247219609756	4	4	4	4
4959.45722033893	4	3	3	3
4969.657255755724	4	4	4	4
4979.837291103073	4	4	4	4
4990.017326450422	4	4	4	4
5000.19736179777	4	4	4	4
5010.377397145119	4	4	4	4
5010.587397874294	4	3	3	3
5020.777433256365	4	4	4	4
5030.957468603714	4	4	4	4
5041.137503951062	4	4	4	4
5051.317539298411	4	4	4	4
5061.49757464576	4	4	4	4
5061.707575374934	4	3	3	3
5071.907610791728	4	4	4	4
5082.087646139077	4	4	4	4
5092.267681486426	4	4	4	4
5102.447716833775	4	4	4	4
5112.6277521811235	4	4	4	4
5112.84775294502	4	3	3	3
5123.037788327091	4	4	4	4
5133.21782367444	4	4	4	4
5143.397859021789	4	4	4	4
5153.577894369138	4	4	4	4
5163.7579297164875	4	4	4	4
5163.96793044566	4	3	3	3
5174.167965862454	4	4	4	4
5184.348001209803	4	4	4	4
5194.5280365571525	4	4	4	4
5204.708071904502	4	4	4	4
5214.88810725185	4	4	4	4
5215.098107981024	4	3	3	3
5225.298143397818	4	4	4	4
5235.4781787451675	4	4	4	4
5245.658214092517	4	4	4	4
5255.838249439865	4	4	4	4
5266.018284787214	4	4	4	4
5266.228285516388	4	3	3	3
5276.428320933182	4	4	4	4
5286.608356280531	4	4	4	4
5296.788391627879	4	4	4	4
5306.968426975228	4	4	4	4
5317.148462322577	4	4	4	4
5317.358463051751	4	3	3	3
5327.558498468545	4	4	4	4
5337.738533815894	4	4	4	4
5347.918569163243	4	4	4	4
5358.098604510591	4	4	4	4
5368.27863985794	4	4	4	4
5368.488640587114	4	3	3	3
5378.688676003908	4	4	4	4
5388.868711351257	4	4	4	4
5399.048746698606	4	4	4	4
5409.228782045955	4	4	4	4
5419.408817393304	4	4	4	4
5419.618818122478	4	3	3	3
5429.818853539272	4	4	4	4
5439.998888886621	4	4	4	4
5450.178924233969	4	4	4	4
5460.358959581317	4	4	4	4
5470.538994928666	4	4	4	4
5470.748995657841	4	3	3	3
5480.949031074635	4	4	4	4
5491.129066421984	4	4	4	4
5501.309101769333	4	4	4	4
5511.489137116681	4	4	4	4
5521.66917246403	4	4	4	4
5521.879173193203	4	3	3	3
5532.069208575276	4	4	4	4
5542.249243922624	4	4	4	4
5552.429279269973	4	4	4	4
5562.6093146173225	4	4	4	4
5572.789349964672	4	4	4	4
5572.9993506938445	4	3	3	3
5583.199386110638	4	4	4	4
5593.3794214579875	4	4	4	4
5603.559456805337	4	4	4	4
5613.739492152686	4	4	4	4
5623.919527500035	4	4	4	4
5624.1395282639305	4	3	3	3
5634.3295636460025	4	4	4	4
5644.509598993352	4	4	4	4
5654.689634340701	4	4	4	4
5664.869669688049	4	4	4	4
5675.049705035397	4	4	4	4
5675.259705764572	4	3	3	3
5685.459741181366	4	4	4	4
5695.639776528715	4	4	4	4
5705.819811876064	4	4	4	4
5715.999847223413	4	4	4	4
5726.179882570761	4	4	4	4
5726.389883299934	4	3	3	3
5736.579918682007	4	4	4	4
5746.759954029356	4	4	4	4
5756.939989376704	4	4	4	4
5767.120024724053	4	4	4	4
5777.300060071402	4	4	4	4
5777.510060800575	4	3	3	3
5787.710096217369	4	4	4	4
5797.890131564718	4	4	4	4
5808.070166912067	4	4	4	4
5818.250202259416	4	4	4	4
5828.430237606765	4	4	4	4
5828.640238335939	4	3	3	3
5838.840273752733	4	4	4	4
5849.020309100082	4	4	4	4
5859.200344447431	4	4	4	4
5869.38037979478	4	4	4	4
5879.5604151421285	4	4	4	4
5879.770415871302	4	3	3	3
5889.970451288096	4	4	4	4
5900.150486635445	4	4	4	4
5910.330521982794	4	4	4	4
5920.5105573301435	4	4	4	4
5930.6905926774925	4	4	4	4
5930.900593406666	4	3	3	3
5941.10062882346	4	4	4	4
5951.280664170809	4	4	4	4
5961.460699518157	4	4	4	4
5971.640734865506	4	4	4	4
5981.820770212855	4	4	4	4
5982.030770942029	4	3	3	3
5992.230806358823	4	4	4	4
6002.410841706172	4	4	4	4
6012.590877053521	4	4	4	4
6022.77091240087	4	4	4	4
6032.950947748219	4	4	4	4
6033.160948477392	4	3	3	3
6043.360983894186	4	4	4	4
6053.541019241535	4	4	4	4
6063.721054588884	4	4	4	4
6073.901089936233	4	4	4	4
6084.081125283582	4	4	4	4
6084.291126012756	4	3	3	3
6094.49116142955	4	4	4	4
6104.671196776899	4	4	4	4
6114.851232124248	4	4	4	4
6125.031267471597	4	4	4	4
6135.211302818945	4	4	4	4
6135.431303582842	4	3	3	3
6145.621338964913	4	4	4	4
6155.801374312262	4	4	4	4
6165.981409659611	4	4	4	4
6176.16144500696	4	4	4	4
6186.341480354309	4	4	4	4
6186.551481083483	4	3	3	3
6196.741516465554	4	4	4	4
6206.921551812903	4	4	4	4
6217.101587160251	4	4	4	4
6227.2816225076	4	4	4	4
6237.461657854949	4	4	4	4
6237.671658584122	4	3	3	3
6247.861693966194	4	4	4	4
6258.041729313543	4	4	4	4
6268.221764660892	4	4	4	4
6278.4018000082415	4	4	4	4
6288.581835355591	4	4	4	4
6288.791836084763	4	3	3	3
6298.981871466835	4	4	4	4
6309.1619068141845	4	4	4	4
6319.341942161534	4	4	4	4
6329.521977508883	4	4	4	4
6339.702012856231	4	4	4	4
6339.912013585405	4	3	3	3
6350.112049002199	4	4	4	4
6360.292084349548	4	4	4	4
6370.472119696897	4	4	4	4
6380.652155044246	4	4	4	4
6390.832190391595	4	4	4	4
6391.042191120769	4	3	3	3
6401.242226537563	4	4	4	4
6411.422261884912	4	4	4	4
6421.602297232259	4	4	4	4
6431.782332579608	4	4	4	4
6441.962367926957	4	4	4	4
6442.172368656132	4	3	3	3
6452.362404038202	4	4	4	4
6462.542439385551	4	4	4	4
6472.7224747329	4	4	4	4
6482.902510080249	4	4	4	4
