Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c73f648d10596ad0b15e9 - minikube-m04
5573.370000001656	4	3	3	3
5583.56000000166	4	4	4	4
5593.740000001664	4	4	4	4
5603.920000001668	4	4	4	4
5614.100000001672	4	4	4	4
5624.280000001676	4	4	4	4
5624.500000001681	4	3	3	3
5634.700000001685	4	4	4	4
5644.880000001689	4	4	4	4
5655.060000001693	4	4	4	4
5665.240000001697	4	4	4	4
5675.420000001701	4	4	4	4
5675.630000001705	4	3	3	3
5685.82000000171	4	4	4	4
5696.0000000017135	4	4	4	4
5706.180000001717	4	4	4	4
5716.360000001721	4	4	4	4
5726.540000001725	4	4	4	4
5726.75000000173	4	3	3	3
5736.950000001734	4	4	4	4
5747.130000001738	4	4	4	4
5757.310000001742	4	4	4	4
5767.490000001746	4	4	4	4
5777.67000000175	4	4	4	4
5777.8800000017545	4	3	3	3
5788.070000001759	4	4	4	4
5798.250000001763	4	4	4	4
5808.4300000017665	4	4	4	4
5818.6100000017705	4	4	4	4
5828.790000001774	4	4	4	4
5829.000000001779	4	3	3	3
5839.200000001783	4	4	4	4
5849.380000001787	4	4	4	4
5859.560000001791	4	4	4	4
5869.740000001795	4	4	4	4
5879.920000001799	4	4	4	4
5880.130000001804	4	3	3	3
5890.320000001808	4	4	4	4
5900.500000001812	4	4	4	4
5910.680000001816	4	4	4	4
5920.86000000182	4	4	4	4
5931.0400000018235	4	4	4	4
5931.250000001828	4	3	3	3
5941.450000001832	4	4	4	4
5951.630000001836	4	4	4	4
5961.81000000184	4	4	4	4
5971.990000001844	4	4	4	4
5982.170000001848	4	4	4	4
5982.380000001853	4	3	3	3
5992.580000001857	4	4	4	4
6002.760000001861	4	4	4	4
6012.940000001865	4	4	4	4
6023.120000001869	4	4	4	4
6033.300000001873	4	4	4	4
6033.510000001877	4	3	3	3
6043.710000001882	4	4	4	4
6053.890000001886	4	4	4	4
6064.07000000189	4	4	4	4
6074.250000001894	4	4	4	4
6084.4300000018975	4	4	4	4
6084.640000001902	4	3	3	3
6094.840000001906	4	4	4	4
6105.02000000191	4	4	4	4
6115.200000001914	4	4	4	4
6125.380000001918	4	4	4	4
6135.560000001922	4	4	4	4
6135.780000001927	4	3	3	3
6145.970000001931	4	4	4	4
6156.150000001935	4	4	4	4
6166.330000001939	4	4	4	4
6176.510000001943	4	4	4	4
6186.690000001947	4	4	4	4
6186.900000001951	4	3	3	3
6197.090000001956	4	4	4	4
6207.2700000019595	4	4	4	4
6217.450000001963	4	4	4	4
6227.630000001967	4	4	4	4
6237.810000001971	4	4	4	4
6238.020000001976	4	3	3	3
6248.22000000198	4	4	4	4
6258.400000001984	4	4	4	4
6268.580000001988	4	4	4	4
6278.760000001992	4	4	4	4
6288.940000001996	4	4	4	4
6289.1500000020005	4	3	3	3
6299.350000002005	4	4	4	4
6309.530000002009	4	4	4	4
6319.710000002013	4	4	4	4
6329.890000002017	4	4	4	4
6340.070000002021	4	4	4	4
6340.280000002025	4	3	3	3
6350.48000000203	4	4	4	4
6360.6600000020335	4	4	4	4
6370.840000002037	4	4	4	4
6381.020000002041	4	4	4	4
6391.200000002045	4	4	4	4
6391.41000000205	4	3	3	3
6401.610000002054	4	4	4	4
6411.790000002058	4	4	4	4
6421.970000002062	4	4	4	4
6432.150000002066	4	4	4	4
6442.33000000207	4	4	4	4
6442.5400000020745	4	3	3	3
6452.730000002079	4	4	4	4
6462.910000002083	4	4	4	4
6473.0900000020865	4	4	4	4
6483.2700000020905	4	4	4	4
6493.450000002094	4	4	4	4
6493.660000002099	4	3	3	3
6503.860000002103	4	4	4	4
6514.040000002107	4	4	4	4
6524.220000002111	4	4	4	4
6534.400000002115	4	4	4	4
6544.580000002119	4	4	4	4
6544.790000002124	4	3	3	3
6554.990000002128	4	4	4	4
6565.170000002132	4	4	4	4
6575.350000002136	4	4	4	4
6585.53000000214	4	4	4	4
6595.710000002144	4	4	4	4
6595.920000002148	4	3	3	3
6606.120000002153	4	4	4	4
6616.300000002157	4	4	4	4
6626.4800000021605	4	4	4	4
6636.660000002164	4	4	4	4
6646.840000002168	4	4	4	4
6647.060000002173	4	3	3	3
6657.260000002178	4	4	4	4
6667.4400000021815	4	4	4	4
6677.620000002185	4	4	4	4
6687.800000002189	4	4	4	4
6697.980000002193	4	4	4	4
6698.190000002198	4	3	3	3
